#ENCODE_data_set,TF_name,JASPAR2014_matrix_id
wgEncodeAwgTfbsHaibGm12878Elf1sc631V0416101UniPk,ELF1,MA0473.1
wgEncodeAwgTfbsHaibGm12878Ets1Pcr1xUniPk,ETS1,MA0098.2
wgEncodeAwgTfbsHaibGm12878GabpPcr2xUniPk,GABPA,MA0062.2
wgEncodeAwgTfbsHaibGm12878Mef2aPcr1xUniPk,MEF2A,MA0052.2
wgEncodeAwgTfbsHaibGm12878Mef2csc13268V0416101UniPk,MEF2C,MA0497.1
wgEncodeAwgTfbsHaibGm12878Nficsc81335V0422111UniPk,NFIC,MA0161.1
wgEncodeAwgTfbsHaibGm12878NrsfPcr1xUniPk,REST,MA0138.2
wgEncodeAwgTfbsHaibGm12878Pax5c20Pcr1xUniPk,PAX5,MA0014.2
wgEncodeAwgTfbsHaibGm12878Pax5n19Pcr1xUniPk,PAX5,MA0014.2
wgEncodeAwgTfbsHaibGm12878Pou2f2Pcr1xUniPk,POU2F2,MA0507.1
wgEncodeAwgTfbsHaibGm12878Pu1Pcr1xUniPk,SPI1,MA0080.3
wgEncodeAwgTfbsHaibGm12878RxraPcr1xUniPk,RXRA,MA0512.1
wgEncodeAwgTfbsHaibGm12878Sp1Pcr1xUniPk,SP1,MA0079.3
wgEncodeAwgTfbsHaibGm12878SrfPcr2xUniPk,SRF,MA0083.2
wgEncodeAwgTfbsHaibGm12878Stat5asc74442V0422111UniPk,STAT5A::STAT5B,MA0519.1
wgEncodeAwgTfbsHaibGm12878Tcf12Pcr1xUniPk,TCF12,MA0521.1
wgEncodeAwgTfbsHaibGm12878Tcf3Pcr1xUniPk,TCF3,MA0522.1
wgEncodeAwgTfbsHaibGm12878Usf1Pcr2xUniPk,USF1,MA0093.2
wgEncodeAwgTfbsHaibGm12878Yy1sc281Pcr1xUniPk,YY1,MA0095.2
wgEncodeAwgTfbsHaibGm12878Zbtb33Pcr1xUniPk,ZBTB33,MA0527.1
wgEncodeAwgTfbsHaibGm12878Zeb1sc25388V0416102UniPk,ZEB1,MA0103.2
wgEncodeAwgTfbsHaibGm12891Pax5c20V0416101UniPk,PAX5,MA0014.2
wgEncodeAwgTfbsHaibGm12891Pou2f2Pcr1xUniPk,POU2F2,MA0507.1
wgEncodeAwgTfbsHaibGm12891Pu1Pcr1xUniPk,SPI1,MA0080.3
wgEncodeAwgTfbsHaibGm12891Yy1sc281V0416101UniPk,YY1,MA0095.2
wgEncodeAwgTfbsHaibGm12892Pax5c20V0416101UniPk,PAX5,MA0014.2
wgEncodeAwgTfbsHaibGm12892Yy1V0416101UniPk,YY1,MA0095.2
wgEncodeAwgTfbsHaibH1hescCtcfsc5916V0416102UniPk,CTCF,MA0139.1
wgEncodeAwgTfbsHaibH1hescEgr1V0416102UniPk,EGR1,MA0162.2
wgEncodeAwgTfbsHaibH1hescFosl1sc183V0416102UniPk,FOSL1,MA0477.1
wgEncodeAwgTfbsHaibH1hescGabpPcr1xUniPk,GABPA,MA0062.2
wgEncodeAwgTfbsHaibH1hescJundV0416102UniPk,JUND,MA0491.1
wgEncodeAwgTfbsHaibH1hescNrsfV0416102UniPk,REST,MA0138.2
wgEncodeAwgTfbsHaibH1hescPou5f1sc9081V0416102UniPk,POU5F1::SOX2,MA0142.1
wgEncodeAwgTfbsHaibH1hescRxraV0416102UniPk,RXRA,MA0512.1
wgEncodeAwgTfbsHaibH1hescSp1Pcr1xUniPk,SP1,MA0079.3
